brand,mileage_band,age_band,mean,median,count,lower_estimate,upper_estimate
renault,100k+,13-20 years,1485.4516129032259,1250.0,837,1062.5,1437.5
renault,100k+,20+ years,740.1532846715329,599.0,137,509.15,688.8499999999999
renault,100k+,4-7 years,7755.105263157895,6999.0,19,5949.15,8048.849999999999
renault,100k+,8-12 years,4226.2874251497005,3750.0,167,3187.5,4312.5
renault,20k-50k,4-7 years,9755.255319148937,9700.0,47,8245.0,11155.0
renault,20k-50k,8-12 years,5291.64705882353,4500.0,17,3825.0,5175.0
renault,50k-100k,13-20 years,1964.3211009174313,1800.0,109,1530.0,2070.0
renault,50k-100k,20+ years,864.875,894.5,16,760.3249999999999,1028.675
renault,50k-100k,4-7 years,9789.510638297872,8990.0,47,7641.5,10338.5
renault,50k-100k,8-12 years,5536.164948453608,4690.0,97,3986.5,5393.5
rover,100k+,13-20 years,1211.44,999.0,25,849.15,1148.85
saab,100k+,13-20 years,2234.0833333333335,1875.0,36,1593.75,2156.25
saab,100k+,20+ years,2343.6875,1800.0,16,1530.0,2070.0
seat,100k+,13-20 years,2071.792857142857,1600.0,280,1360.0,1839.9999999999998
seat,100k+,20+ years,803.2926829268292,750.0,41,637.5,862.4999999999999
seat,100k+,8-12 years,5373.770642201835,5200.0,109,4420.0,5979.999999999999
seat,20k-50k,4-7 years,13938.372093023256,11500.0,43,9775.0,13224.999999999998
seat,20k-50k,8-12 years,8627.8,7549.5,10,6417.075,8681.925
seat,50k-100k,13-20 years,2917.92,2500.0,25,2125.0,2875.0
seat,50k-100k,4-7 years,10741.351851851852,9075.0,54,7713.75,10436.25
seat,50k-100k,8-12 years,7121.913793103448,6845.0,58,5818.25,7871.749999999999
skoda,0-20k,0-3 years,17507.923076923078,15000.0,13,12750.0,17250.0
skoda,0-20k,4-7 years,12601.681818181818,9544.5,22,8112.825,10976.175
skoda,100k+,13-20 years,2706.696132596685,2499.0,181,2124.15,2873.85
skoda,100k+,4-7 years,10277.75,9999.5,20,8499.574999999999,11499.425
skoda,100k+,8-12 years,6386.451612903225,5800.0,155,4930.0,6669.999999999999
skoda,20k-50k,4-7 years,13563.666666666666,12400.0,54,10540.0,14259.999999999998
skoda,20k-50k,8-12 years,6642.866666666667,5900.0,15,5015.0,6784.999999999999
skoda,50k-100k,13-20 years,3137.703703703704,2999.0,27,2549.15,3448.85
skoda,50k-100k,4-7 years,12187.767441860466,11199.0,43,9519.15,12878.849999999999
skoda,50k-100k,8-12 years,7918.930232558139,6999.5,86,5949.575,8049.424999999999
smart,0-20k,4-7 years,8679.692307692309,7999.0,13,6799.15,9198.849999999999
smart,100k+,13-20 years,2207.384105960265,2000.0,151,1700.0,2300.0
smart,100k+,8-12 years,3452.1176470588234,3495.0,34,2970.75,4019.2499999999995
smart,20k-50k,4-7 years,7445.0,6925.0,40,5886.25,7963.749999999999
smart,20k-50k,8-12 years,5609.148148148148,5300.0,27,4505.0,6094.999999999999
smart,50k-100k,13-20 years,2847.2638888888887,2474.5,72,2103.325,2845.6749999999997
smart,50k-100k,4-7 years,6402.0,6070.0,18,5159.5,6980.499999999999
smart,50k-100k,8-12 years,4719.930555555556,4500.0,72,3825.0,5175.0
subaru,100k+,13-20 years,2894.4074074074074,2100.0,27,1785.0,2415.0
subaru,100k+,20+ years,1563.8235294117646,1000.0,17,850.0,1150.0
suzuki,100k+,13-20 years,2203.21875,1650.0,64,1402.5,1897.4999999999998
suzuki,100k+,20+ years,1007.0714285714286,845.0,14,718.25,971.7499999999999
suzuki,100k+,8-12 years,4873.275,4500.0,40,3825.0,5175.0
